'sample interval','ECG'
'0.004 sec','mV'
10000,0.072
10001,0.072
10002,0.072
10003,0.080
10004,0.072
10005,0.076
10006,0.076
10007,0.082
10008,0.080
10009,0.078
10010,0.080
10011,0.084
10012,0.082
10013,0.082
10014,0.086
10015,0.086
10016,0.088
10017,0.086
10018,0.090
10019,0.092
10020,0.094
10021,0.092
10022,0.094
10023,0.096
10024,0.092
10025,0.096
10026,0.098
10027,0.098
10028,0.100
10029,0.104
10030,0.104
10031,0.108
10032,0.106
10033,0.104
10034,0.104
10035,0.106
10036,0.112
10037,0.110
10038,0.108
10039,0.108
10040,0.112
10041,0.110
10042,0.112
10043,0.112
10044,0.112
10045,0.112
10046,0.116
10047,0.112
10048,0.114
10049,0.112
10050,0.112
10051,0.108
10052,0.114
10053,0.112
10054,0.112
10055,0.112
10056,0.110
10057,0.112
10058,0.112
10059,0.112
10060,0.112
10061,0.112
10062,0.116
10063,0.112
10064,0.114
10065,0.118
10066,0.114
10067,0.114
10068,0.118
10069,0.116
10070,0.116
10071,0.114
10072,0.114
10073,0.120
10074,0.120
10075,0.118
10076,0.120
10077,0.120
10078,0.122
10079,0.118
10080,0.116
10081,0.118
10082,0.120
10083,0.120
10084,0.118
10085,0.120
10086,0.120
10087,0.120
10088,0.120
10089,0.118
10090,0.122
10091,0.126
10092,0.122
10093,0.120
10094,0.126
10095,0.126
10096,0.120
10097,0.118
10098,0.118
10099,0.116
10100,0.128
10101,0.136
10102,0.136
10103,0.136
10104,0.136
10105,0.138
10106,0.144
10107,0.150
10108,0.148
10109,0.156
10110,0.162
10111,0.164
10112,0.160
10113,0.154
10114,0.158
10115,0.156
10116,0.156
10117,0.152
10118,0.152
10119,0.150
10120,0.146
10121,0.144
10122,0.136
10123,0.134
10124,0.128
10125,0.124
10126,0.120
10127,0.120
10128,0.114
10129,0.114
10130,0.114
10131,0.110
10132,0.114
10133,0.114
10134,0.112
10135,0.110
10136,0.114
10137,0.112
10138,0.112
10139,0.112
10140,0.114
10141,0.114
10142,0.116
10143,0.114
10144,0.116
10145,0.116
10146,0.108
10147,0.094
10148,0.080
10149,0.070
10150,0.066
10151,0.090
10152,0.148
10153,0.248
10154,0.374
10155,0.508
10156,0.632
10157,0.726
10158,0.776
10159,0.658
10160,0.460
10161,0.288
10162,0.144
10163,0.092
10164,0.076
10165,0.072
10166,0.064
10167,0.064
10168,0.080
10169,0.086
10170,0.084
10171,0.080
10172,0.080
10173,0.078
10174,0.080
10175,0.080
10176,0.080
10177,0.082
10178,0.088
10179,0.084
10180,0.086
10181,0.088
10182,0.092
10183,0.090
10184,0.096
10185,0.096
10186,0.100
10187,0.096
10188,0.102
10189,0.106
10190,0.108
10191,0.110
10192,0.108
10193,0.110
10194,0.114
10195,0.112
10196,0.114
10197,0.114
10198,0.130
10199,0.122
10200,0.120
10201,0.124
10202,0.128
10203,0.128
10204,0.132
10205,0.132
10206,0.136
10207,0.140
10208,0.140
10209,0.144
10210,0.146
10211,0.152
10212,0.152
10213,0.158
10214,0.162
10215,0.164
10216,0.168
10217,0.170
10218,0.168
10219,0.176
10220,0.176
10221,0.180
10222,0.178
10223,0.182
10224,0.182
10225,0.180
10226,0.178
10227,0.178
10228,0.172
10229,0.164
10230,0.156
10231,0.152
10232,0.140
10233,0.128
10234,0.120
10235,0.110
10236,0.104
10237,0.096
10238,0.088
10239,0.084
10240,0.080
10241,0.076
10242,0.072
10243,0.070
10244,0.072
10245,0.064
10246,0.072
10247,0.074
10248,0.076
10249,0.078
10250,0.078
10251,0.076
10252,0.080
10253,0.084
10254,0.084
10255,0.080
10256,0.082
10257,0.088
10258,0.090
10259,0.084
10260,0.088
10261,0.088
10262,0.092
10263,0.090
10264,0.090
10265,0.094
10266,0.098
10267,0.092
10268,0.098
10269,0.098
10270,0.096
10271,0.096
10272,0.100
10273,0.102
10274,0.100
10275,0.104
10276,0.102
10277,0.104
10278,0.104
10279,0.104
10280,0.100
10281,0.106
10282,0.106
10283,0.108
10284,0.108
10285,0.106
10286,0.108
10287,0.110
10288,0.106
10289,0.110
10290,0.110
10291,0.110
10292,0.106
10293,0.108
10294,0.112
10295,0.112
10296,0.112
10297,0.110
10298,0.112
10299,0.112
10300,0.112
10301,0.114
10302,0.112
10303,0.112
10304,0.110
10305,0.112
10306,0.110
10307,0.112
10308,0.112
10309,0.112
10310,0.116
10311,0.116
10312,0.116
10313,0.116
10314,0.116
10315,0.120
10316,0.114
10317,0.116
10318,0.114
10319,0.116
10320,0.114
10321,0.116
10322,0.114
10323,0.118
10324,0.118
10325,0.114
10326,0.116
10327,0.120
10328,0.124
10329,0.120
10330,0.114
10331,0.120
10332,0.118
10333,0.120
10334,0.120
10335,0.120
10336,0.122
10337,0.120
10338,0.120
10339,0.120
10340,0.126
10341,0.128
10342,0.128
10343,0.132
10344,0.140
10345,0.136
10346,0.136
10347,0.140
10348,0.146
10349,0.146
10350,0.152
10351,0.158
10352,0.160
10353,0.160
10354,0.154
10355,0.152
10356,0.156
10357,0.158
10358,0.154
10359,0.152
10360,0.150
10361,0.144
10362,0.136
10363,0.132
10364,0.134
10365,0.128
10366,0.126
10367,0.118
10368,0.118
10369,0.116
10370,0.114
10371,0.112
10372,0.112
10373,0.112
10374,0.112
10375,0.112
10376,0.108
10377,0.104
10378,0.110
10379,0.112
10380,0.112
10381,0.108
10382,0.116
10383,0.114
10384,0.112
10385,0.112
10386,0.118
10387,0.108
10388,0.092
10389,0.076
10390,0.066
10391,0.068
10392,0.098
10393,0.158
10394,0.264
10395,0.394
10396,0.534
10397,0.648
10398,0.736
10399,0.754
10400,0.594
10401,0.412
10402,0.238
10403,0.120
10404,0.072
10405,0.058
10406,0.060
10407,0.054
10408,0.054
10409,0.062
10410,0.074
10411,0.082
10412,0.084
10413,0.078
10414,0.080
10415,0.084
10416,0.084
10417,0.082
10418,0.088
10419,0.088
10420,0.088
10421,0.088
10422,0.090
10423,0.094
10424,0.096
10425,0.098
10426,0.096
10427,0.102
10428,0.104
10429,0.104
10430,0.108
10431,0.110
10432,0.112
10433,0.114
10434,0.114
10435,0.120
10436,0.120
10437,0.122
10438,0.120
10439,0.122
10440,0.126
10441,0.128
10442,0.126
10443,0.128
10444,0.132
10445,0.134
10446,0.134
10447,0.138
10448,0.144
10449,0.144
10450,0.144
10451,0.148
10452,0.150
10453,0.160
10454,0.158
10455,0.160
10456,0.168
10457,0.172
10458,0.174
10459,0.174
10460,0.178
10461,0.184
10462,0.184
10463,0.182
10464,0.182
10465,0.184
10466,0.180
10467,0.176
10468,0.172
10469,0.168
10470,0.168
10471,0.152
10472,0.140
10473,0.136
10474,0.128
10475,0.114
10476,0.112
10477,0.102
10478,0.094
10479,0.090
10480,0.086
10481,0.080
10482,0.080
10483,0.080
10484,0.074
10485,0.076
10486,0.072
10487,0.072
10488,0.074
10489,0.074
10490,0.080
10491,0.080
10492,0.080
10493,0.078
10494,0.082
10495,0.084
10496,0.082
10497,0.080
10498,0.084
10499,0.082
10500,0.082
10501,0.080
10502,0.084
10503,0.086
10504,0.088
10505,0.092
10506,0.090
10507,0.092
10508,0.094
10509,0.096
10510,0.096
10511,0.096
10512,0.098
10513,0.096
10514,0.096
10515,0.100
10516,0.100
10517,0.100
10518,0.102
10519,0.104
10520,0.108
10521,0.104
10522,0.108
10523,0.108
10524,0.106
10525,0.108
10526,0.110
10527,0.110
10528,0.108
10529,0.112
10530,0.108
10531,0.108
10532,0.114
10533,0.106
10534,0.108
10535,0.112
10536,0.110
10537,0.112
10538,0.110
10539,0.106
10540,0.112
10541,0.114
10542,0.112
10543,0.112
10544,0.116
10545,0.114
10546,0.112
10547,0.114
10548,0.120
10549,0.114
10550,0.114
10551,0.116
10552,0.112
10553,0.114
10554,0.112
10555,0.120
10556,0.124
10557,0.128
10558,0.130
10559,0.128
10560,0.128
10561,0.134
10562,0.130
10563,0.130
10564,0.140
10565,0.144
10566,0.146
10567,0.156
10568,0.152
10569,0.156
10570,0.156
10571,0.152
10572,0.148
10573,0.148
10574,0.148
10575,0.146
10576,0.142
10577,0.142
10578,0.136
10579,0.130
10580,0.128
10581,0.128
10582,0.120
10583,0.114
10584,0.114
10585,0.110
10586,0.114
10587,0.112
10588,0.112
10589,0.110
10590,0.112
10591,0.112
10592,0.120
10593,0.108
10594,0.112
10595,0.112
10596,0.108
10597,0.112
10598,0.112
10599,0.114
10600,0.120
10601,0.116
10602,0.112
10603,0.102
10604,0.082
10605,0.064
10606,0.062
10607,0.072
10608,0.108
10609,0.192
10610,0.316
10611,0.460
10612,0.592
10613,0.704
10614,0.764
10615,0.704
10616,0.508
10617,0.326
10618,0.166
10619,0.088
10620,0.054
10621,0.048
10622,0.050
10623,0.056
10624,0.060
10625,0.070
10626,0.078
10627,0.082
10628,0.082
10629,0.082
10630,0.080
10631,0.082
10632,0.088
10633,0.092
10634,0.088
10635,0.092
10636,0.096
10637,0.096
10638,0.096
10639,0.096
10640,0.098
