'Elapsed time','SO2'
'hh:mm:ss.mmm','%'
'0:00.000',92.889
'0:00.004',92.889
'0:00.008',92.950
'0:00.012',92.828
'0:00.016',93.011
'0:00.020',92.889
'0:00.024',92.889
'0:00.028',92.828
'0:00.032',92.889
'0:00.036',92.889
'0:00.040',92.828
'0:00.044',92.889
'0:00.048',92.889
'0:00.052',92.889
'0:00.056',92.889
'0:00.060',93.011
'0:00.064',92.828
'0:00.068',92.889
'0:00.072',92.950
'0:00.076',93.011
'0:00.080',92.828
'0:00.084',92.889
'0:00.088',92.950
'0:00.092',92.889
'0:00.096',92.766
'0:00.100',92.950
'0:00.104',93.011
'0:00.108',92.889
'0:00.112',92.889
'0:00.116',92.950
'0:00.120',92.889
'0:00.124',92.766
'0:00.128',92.889
'0:00.132',92.950
'0:00.136',92.889
'0:00.140',92.766
'0:00.144',93.011
'0:00.148',92.889
'0:00.152',92.705
'0:00.156',92.889
'0:00.160',93.011
'0:00.164',92.889
'0:00.168',92.644
'0:00.172',92.889
'0:00.176',92.889
'0:00.180',92.889
'0:00.184',92.705
'0:00.188',93.011
'0:00.192',92.889
'0:00.196',92.889
'0:00.200',92.889
'0:00.204',93.011
'0:00.208',92.889
'0:00.212',92.889
'0:00.216',92.889
'0:00.220',92.889
'0:00.224',92.889
'0:00.228',92.889
'0:00.232',92.950
'0:00.236',92.705
'0:00.240',92.889
'0:00.244',92.889
'0:00.248',92.889
'0:00.252',92.828
'0:00.256',92.889
'0:00.260',92.950
'0:00.264',92.828
'0:00.268',92.828
'0:00.272',92.889
'0:00.276',92.889
'0:00.280',92.766
'0:00.284',92.889
'0:00.288',93.011
'0:00.292',92.828
'0:00.296',92.766
'0:00.300',92.889
'0:00.304',93.011
'0:00.308',92.766
'0:00.312',92.766
'0:00.316',92.889
'0:00.320',92.889
'0:00.324',92.828
'0:00.328',92.889
'0:00.332',92.889
'0:00.336',92.889
'0:00.340',92.766
'0:00.344',93.011
'0:00.348',92.889
'0:00.352',92.705
'0:00.356',92.828
'0:00.360',93.011
'0:00.364',92.889
'0:00.368',92.705
'0:00.372',92.889
'0:00.376',92.889
'0:00.380',92.889
'0:00.384',92.828
'0:00.388',92.950
'0:00.392',92.828
'0:00.396',92.889
'0:00.400',92.889
'0:00.404',92.889
'0:00.408',92.950
'0:00.412',92.828
'0:00.416',93.011
'0:00.420',92.889
'0:00.424',92.889
'0:00.428',92.889
'0:00.432',92.950
'0:00.436',92.644
'0:00.440',92.889
'0:00.444',92.950
'0:00.448',92.950
'0:00.452',92.644
'0:00.456',92.889
'0:00.460',92.950
'0:00.464',92.889
'0:00.468',92.828
'0:00.472',92.889
'0:00.476',93.011
'0:00.480',92.828
'0:00.484',92.889
'0:00.488',92.889
'0:00.492',92.889
'0:00.496',92.766
'0:00.500',92.889
'0:00.504',93.072
'0:00.508',92.766
'0:00.512',92.705
'0:00.516',92.889
'0:00.520',92.889
'0:00.524',92.766
'0:00.528',92.889
'0:00.532',92.889
'0:00.536',92.828
'0:00.540',92.766
'0:00.544',93.011
'0:00.548',92.889
'0:00.552',92.766
'0:00.556',92.766
'0:00.560',92.889
'0:00.564',92.950
'0:00.568',92.828
'0:00.572',92.889
'0:00.576',92.889
'0:00.580',92.889
'0:00.584',92.889
'0:00.588',92.950
'0:00.592',92.889
'0:00.596',92.889
'0:00.600',92.889
'0:00.604',92.889
'0:00.608',92.889
'0:00.612',92.828
'0:00.616',92.950
'0:00.620',92.889
'0:00.624',92.889
'0:00.628',92.889
'0:00.632',92.950
'0:00.636',92.705
'0:00.640',92.889
'0:00.644',93.011
'0:00.648',92.889
'0:00.652',92.644
'0:00.656',92.889
'0:00.660',93.072
'0:00.664',92.889
'0:00.668',92.828
'0:00.672',93.011
'0:00.676',93.011
'0:00.680',92.828
'0:00.684',92.950
'0:00.688',93.011
'0:00.692',92.889
'0:00.696',92.705
'0:00.700',92.889
'0:00.704',92.950
'0:00.708',92.828
'0:00.712',92.705
'0:00.716',92.889
'0:00.720',92.889
'0:00.724',92.828
'0:00.728',92.889
'0:00.732',92.828
'0:00.736',92.889
'0:00.740',92.766
'0:00.744',93.011
'0:00.748',92.889
'0:00.752',92.828
'0:00.756',92.828
'0:00.760',93.011
'0:00.764',92.889
'0:00.768',92.828
'0:00.772',92.889
'0:00.776',92.889
'0:00.780',92.950
'0:00.784',92.889
'0:00.788',93.072
'0:00.792',92.828
'0:00.796',92.828
'0:00.800',92.889
'0:00.804',92.950
'0:00.808',92.889
'0:00.812',92.889
'0:00.816',92.889
'0:00.820',92.828
'0:00.824',92.889
'0:00.828',92.950
'0:00.832',92.889
'0:00.836',92.705
'0:00.840',92.889
'0:00.844',93.011
'0:00.848',92.889
'0:00.852',92.644
'0:00.856',92.889
'0:00.860',93.011
'0:00.864',92.828
'0:00.868',92.889
'0:00.872',92.889
'0:00.876',92.950
'0:00.880',92.828
'0:00.884',92.889
'0:00.888',92.950
'0:00.892',92.889
'0:00.896',92.705
'0:00.900',92.950
'0:00.904',92.889
'0:00.908',92.828
'0:00.912',92.766
'0:00.916',92.950
'0:00.920',92.889
'0:00.924',92.766
'0:00.928',92.889
'0:00.932',92.889
'0:00.936',92.828
'0:00.940',92.705
'0:00.944',93.011
'0:00.948',92.889
'0:00.952',92.766
'0:00.956',92.828
'0:00.960',93.011
'0:00.964',92.889
'0:00.968',92.889
'0:00.972',92.889
'0:00.976',92.889
'0:00.980',92.889
'0:00.984',92.889
'0:00.988',93.011
'0:00.992',92.828
'0:00.996',92.828
'0:01.000',92.889
'0:01.004',92.950
'0:01.008',92.766
'0:01.012',92.889
'0:01.016',92.889
'0:01.020',92.889
'0:01.024',92.828
'0:01.028',93.011
'0:01.032',92.889
'0:01.036',92.705
'0:01.040',92.889
'0:01.044',93.072
'0:01.048',92.889
'0:01.052',92.644
'0:01.056',92.889
'0:01.060',92.950
'0:01.064',92.889
'0:01.068',92.705
'0:01.072',92.950
'0:01.076',92.950
'0:01.080',92.644
'0:01.084',92.889
'0:01.088',92.889
'0:01.092',92.889
'0:01.096',92.644
'0:01.100',92.889
'0:01.104',92.889
'0:01.108',92.766
'0:01.112',92.828
'0:01.116',92.828
'0:01.120',92.889
'0:01.124',92.705
'0:01.128',92.889
'0:01.132',92.889
'0:01.136',92.889
'0:01.140',92.828
'0:01.144',93.072
'0:01.148',92.828
'0:01.152',92.766
'0:01.156',92.889
'0:01.160',93.011
'0:01.164',92.889
'0:01.168',92.889
'0:01.172',92.950
'0:01.176',92.889
'0:01.180',92.828
'0:01.184',92.950
'0:01.188',93.011
'0:01.192',92.766
'0:01.196',92.889
'0:01.200',92.889
'0:01.204',92.889
'0:01.208',92.705
'0:01.212',92.889
'0:01.216',92.889
'0:01.220',92.828
'0:01.224',92.766
'0:01.228',92.950
'0:01.232',92.889
'0:01.236',92.644
'0:01.240',92.889
'0:01.244',93.072
'0:01.248',92.950
'0:01.252',92.644
