'sample interval','BP'
'0.004 sec','mmHg'
10000,117.531
10001,117.531
10002,117.272
10003,117.401
10004,117.401
10005,117.272
10006,117.401
10007,117.661
10008,117.661
10009,118.049
10010,118.179
10011,118.309
10012,118.438
10013,118.179
10014,118.568
10015,118.568
10016,118.568
10017,118.438
10018,118.049
10019,117.790
10020,117.272
10021,116.494
10022,115.976
10023,115.199
10024,113.773
10025,112.737
10026,111.441
10027,110.404
10028,108.979
10029,107.683
10030,106.257
10031,105.221
10032,103.925
10033,103.018
10034,102.240
10035,101.204
10036,100.945
10037,100.037
10038,99.778
10039,99.519
10040,99.390
10041,99.390
10042,99.260
10043,99.390
10044,99.649
10045,99.649
10046,99.908
10047,100.426
10048,100.556
10049,100.945
10050,101.204
10051,101.852
10052,101.722
10053,101.852
10054,101.981
10055,102.370
10056,102.500
10057,102.500
10058,102.629
10059,102.759
10060,102.111
10061,101.981
10062,101.981
10063,101.722
10064,101.463
10065,101.074
10066,100.556
10067,100.426
10068,100.037
10069,99.908
10070,99.260
10071,99.260
10072,98.353
10073,98.223
10074,97.835
10075,97.446
10076,96.927
10077,96.668
10078,96.409
10079,95.891
10080,95.632
10081,95.372
10082,94.725
10083,94.595
10084,94.206
10085,94.077
10086,93.688
10087,93.429
10088,93.170
10089,92.910
10090,92.522
10091,92.133
10092,92.133
10093,91.874
10094,91.615
10095,91.096
10096,91.096
10097,90.578
10098,90.448
10099,90.189
10100,90.060
10101,89.671
10102,89.541
10103,89.153
10104,89.153
10105,88.764
10106,88.505
10107,88.505
10108,87.986
10109,87.857
10110,87.598
10111,87.209
10112,87.209
10113,86.950
10114,86.950
10115,86.561
10116,86.431
10117,86.431
10118,86.043
10119,85.913
10120,85.654
10121,85.524
10122,85.265
10123,85.135
10124,85.135
10125,84.876
10126,84.876
10127,84.617
10128,84.747
10129,84.358
10130,84.358
10131,84.099
10132,84.099
10133,83.581
10134,83.710
10135,83.062
10136,83.581
10137,83.321
10138,83.192
10139,83.062
10140,82.933
10141,82.673
10142,82.803
10143,82.673
10144,82.673
10145,82.155
10146,82.285
10147,82.026
10148,81.766
10149,81.637
10150,81.507
10151,81.766
10152,81.507
10153,81.378
10154,81.118
10155,80.989
10156,80.730
10157,80.859
10158,80.471
10159,80.471
10160,80.211
10161,80.211
10162,79.952
10163,79.823
10164,79.823
10165,79.693
10166,79.175
10167,79.304
10168,79.045
10169,79.175
10170,78.916
10171,78.656
10172,78.527
10173,78.268
10174,78.138
10175,78.008
10176,78.008
10177,78.008
10178,77.749
10179,77.620
10180,77.490
10181,77.101
10182,76.972
10183,76.842
10184,76.583
10185,76.583
10186,76.324
10187,75.935
10188,75.935
10189,75.935
10190,75.806
10191,75.546
10192,75.546
10193,75.546
10194,75.546
10195,75.158
10196,75.287
10197,75.417
10198,76.065
10199,76.453
10200,77.101
10201,78.138
10202,79.563
10203,81.637
10204,83.710
10205,86.172
10206,88.893
10207,91.615
10208,95.113
10209,98.094
10210,101.333
10211,104.702
10212,107.683
10213,111.052
10214,114.421
10215,117.401
10216,119.993
10217,122.714
10218,125.047
10219,127.120
10220,128.934
10221,129.971
10222,131.526
10223,132.044
10224,132.563
10225,132.692
10226,132.563
10227,132.303
10228,131.526
10229,130.748
10230,129.971
10231,129.064
10232,128.157
10233,126.861
10234,125.824
10235,124.788
10236,124.140
10237,123.233
10238,122.455
10239,121.807
10240,121.548
10241,120.900
10242,120.641
10243,120.511
10244,120.511
10245,120.123
10246,120.511
10247,120.771
10248,120.771
10249,120.900
10250,121.159
10251,121.289
10252,121.807
10253,121.937
10254,122.066
10255,122.196
10256,122.455
10257,122.714
10258,122.585
10259,122.455
10260,122.585
10261,122.196
10262,121.937
10263,121.548
10264,121.030
10265,120.511
10266,119.604
10267,118.568
10268,117.661
10269,116.754
10270,115.199
10271,113.903
10272,112.607
10273,111.052
10274,109.497
10275,108.331
10276,107.294
10277,105.739
10278,105.091
