'sample interval','SO2'
'0.004 sec','%'
0,89.870
1,89.818
2,89.662
3,89.870
4,89.870
5,89.766
6,89.714
7,89.870
8,89.818
9,89.818
10,89.818
11,89.922
12,89.870
13,89.818
14,89.870
15,89.870
16,89.818
17,89.766
18,89.870
19,89.818
20,89.818
21,89.766
22,89.818
23,89.818
24,89.818
25,89.818
26,89.766
27,89.766
28,89.818
29,89.714
30,89.766
31,89.714
32,89.818
33,89.870
34,89.766
35,89.870
36,89.870
37,89.870
38,89.870
39,89.870
40,89.870
41,89.818
42,89.870
43,89.818
44,89.818
45,89.714
46,89.922
47,89.714
48,89.766
49,89.766
50,89.870
51,89.766
52,89.766
53,89.870
54,89.818
55,89.818
56,89.766
57,89.922
58,89.870
59,89.818
60,89.766
61,89.922
62,89.870
63,89.818
64,89.818
65,89.870
66,89.870
67,89.766
68,89.870
69,89.870
70,89.818
71,89.818
72,89.818
73,89.714
74,89.818
75,89.766
76,89.766
77,89.714
78,89.818
79,89.714
80,89.766
81,89.818
82,89.870
83,89.922
84,89.766
85,89.870
86,89.818
87,89.870
88,89.818
89,89.870
90,89.766
91,89.818
92,89.818
93,89.818
94,89.818
95,89.766
96,89.870
97,89.818
98,89.818
99,89.766
100,89.818
101,89.818
102,89.662
103,89.766
104,89.818
105,89.766
106,89.766
107,89.870
108,89.870
109,89.766
110,89.818
111,89.870
112,89.818
113,89.818
114,89.766
115,89.870
116,89.818
117,89.766
118,89.714
119,89.766
120,89.714
121,89.818
122,89.766
123,89.662
124,89.818
125,89.714
126,89.714
127,89.714
128,89.870
129,89.870
130,89.870
131,89.818
132,89.870
133,89.870
134,89.766
135,89.870
136,89.870
137,89.870
138,89.766
139,89.818
140,89.818
141,89.766
142,89.818
143,89.818
144,89.662
145,89.766
146,89.870
147,89.818
148,89.714
149,89.766
150,89.766
151,89.766
152,89.766
153,89.766
154,89.922
155,89.766
156,89.818
157,89.870
158,89.870
159,89.766
160,89.714
161,89.870
162,89.818
163,89.766
164,89.662
165,89.818
166,89.818
167,89.818
168,89.714
169,89.766
170,89.870
171,89.766
172,89.766
173,89.662
174,89.870
175,89.662
176,89.818
177,89.766
178,89.870
179,89.870
180,89.818
181,89.870
182,89.870
183,89.870
184,89.766
185,89.922
186,89.922
187,89.870
188,89.766
189,89.922
190,89.870
191,89.818
192,89.818
193,89.870
194,89.766
195,89.766
196,89.766
197,89.818
198,89.766
199,89.766
200,89.922
201,89.870
202,89.766
203,89.818
204,89.870
205,89.870
206,89.818
207,89.870
208,89.870
209,89.818
210,89.818
211,89.870
212,89.870
213,89.818
214,89.714
215,89.870
216,89.870
217,89.818
218,89.714
219,89.714
220,89.818
221,89.714
222,89.714
223,89.714
224,89.818
225,89.870
226,89.766
227,89.766
228,89.870
229,89.818
230,89.818
231,89.818
232,89.922
233,89.870
234,89.818
235,89.870
236,89.870
237,89.870
238,89.818
239,89.870
240,89.870
241,89.870
242,89.766
243,89.870
244,89.766
245,89.818
246,89.714
247,89.870
248,89.766
249,89.870
250,89.974
251,89.818
252,89.870
253,89.870
254,89.922
255,89.818
256,89.818
257,89.870
258,89.922
259,89.870
260,89.818
261,89.818
262,89.818
263,89.818
264,89.714
265,89.766
266,89.766
267,89.818
268,89.662
269,89.766
270,89.818
271,89.714
272,89.714
273,89.714
274,89.870
275,89.870
276,89.766
277,89.714
278,89.922
279,89.870
280,89.870
281,89.818
282,89.922
283,89.870
284,89.818
285,89.870
286,89.870
287,89.870
288,89.766
289,89.870
290,89.818
291,89.818
292,89.662
293,89.818
294,89.818
295,89.870
296,89.818
297,89.922
298,89.818
299,89.870
300,89.870
301,89.870
302,89.818
303,89.870
304,89.870
305,89.818
306,89.870
307,89.766
308,89.870
309,89.766
310,89.766
311,89.766
312,89.818
313,89.818
314,89.714
315,89.714
316,89.766
317,89.766
318,89.714
319,89.714
320,89.818
321,89.922
322,89.818
323,89.766
324,89.922
325,89.974
326,89.870
327,89.818
328,89.870
329,89.870
330,89.818
331,89.818
332,89.922
333,89.870
334,89.714
335,89.714
336,89.870
337,89.818
338,89.766
339,89.766
340,89.818
341,89.870
342,89.662
343,89.818
344,89.766
345,89.870
